plntid;binary;plntmass;plntradius;period;smaxis;plnttemp;plntage;discmeth;discyear;ra;dec;distsun;strmass;strradius;strmetal;strtemp;strage;inhabitzone
KOI-1843.03;0;0,0014;0,054;0,1768913;0,0048;NA;NA;transit;2012;285,013083333333;40,22075;NA;0,46;0,45;0;3584;NA;FALSE
KOI-1843.01;0;NA;0,114;4,194525;0,039;NA;NA;transit;NA;285,013083333333;40,22075;NA;0,46;0,45;0;3584;NA;FALSE
KOI-1843.02;0;NA;0,071;6,356006;0,052;NA;NA;transit;NA;285,013083333333;40,22075;NA;0,46;0,45;0;3584;NA;FALSE
Kepler-9 b;0;0,141900591;1,011544678;19,22418;0,143;707,2;NA;transit;2010;285,570833333333;38,4;650;1,05;1,23;0,17;5722;NA;FALSE
Kepler-9 c;0;0,0975369917;0,9750926178;39,03106;0,229;557,9;NA;transit;2010;285,570833333333;38,4;650;1,05;1,23;0,17;5722;NA;FALSE
Kepler-9 d;0;0,022;0,147;1,592851;0,0271;1601,5;NA;transit;2010;285,570833333333;38,4;650;1,05;1,23;0,17;5722;NA;FALSE
GJ 160.2 b;0;0,0321;NA;5,2354;0,053;NA;NA;RV;2014;61,6451723333333;-20,8531219722222;43,25;0,69;NA;NA;4347;NA;FALSE
HD 240210 b;0;6,9;NA;501,75;1,33;386,6;NA;RV;2009;347,620833333333;57,0177777777778;143;1,25;NA;-0,18;4290;NA;TRUE
OGLE-05-390L b;0;0,017;NA;3500;2,1;NA;NA;microlensing;2005;268,579166666667;-30,3675;6500;0,22;NA;NA;3840;NA;FALSE
WASP-82 b;0;1,24;1,67;2,705782;0,0447;2190;NA;transit;2013;72,6625;1,88416666666667;200;1,63;2,18;0,12;6490;NA;FALSE
Gliese 1214 b;0;0,0195;0,2525;1,58040417;0,01488;604;NA;transit;2009;258,828916666667;4,96380555555556;14,55;0,176;0,2213;0,1;3250;NA;FALSE
Kepler-153 b;0;NA;0,2661;18,870227;0,148219150764362;NA;NA;transit;2014;282,458333333333;48,2505555555556;626,1;0,82;0,892;NA;5404;NA;FALSE
Kepler-153 c;0;NA;0,23056;46,90232;0,271966735195487;NA;NA;transit;2014;282,458333333333;48,2505555555556;626,1;0,82;0,892;NA;5404;NA;FALSE
HD 4203 b;0;1,82;NA;437,05;1,1735;263,9;NA;RV;2001;11,1708333333333;20,4347222222222;77,82;1,13;1,33;0,453;5702;NA;TRUE
HD 4203 c;0;2,17;NA;6700;6,95;NA;NA;RV;2014;11,1708333333333;20,4347222222222;77,82;1,13;1,33;0,453;5702;NA;FALSE
HD 179079 b;0;0,08;NA;14,476;0,11;925;NA;RV;2009;287,791666666667;-2,63361111111111;63,69;1,087;1,48;0,29;5724;NA;FALSE
HD 187123 b;0;0,5074;NA;3,0965886;0,04213;NA;NA;RV;1998;296,742083333333;34,4194444444444;48,3;1,037;1,143;0,121;5815;NA;FALSE
HD 187123 c;0;1,818;NA;3324;4,417;NA;NA;RV;2007;296,742083333333;34,4194444444444;48,3;1,037;1,143;0,121;5815;NA;FALSE
Kepler-431 b;0;NA;0,0682;6,803;0,0719;NA;NA;transit;2015;281,112333333333;43,2277777777778;NA;1,071;1,092;NA;6004;NA;FALSE
Kepler-431 c;0;NA;0,0596;8,703;0,0847;NA;NA;transit;2015;281,112333333333;43,2277777777778;NA;1,071;1,092;NA;6004;NA;FALSE
Kepler-431 d;0;NA;0,099;11,922;0,1045;NA;NA;transit;2015;281,112333333333;43,2277777777778;NA;1,071;1,092;NA;6004;NA;FALSE
Kepler-131 b;0;0,05074;0,219624;16,092;0,123936001446895;NA;NA;transit;2014;288,529166666667;40,9341666666667;226,3;1,02;1,03;0,12;5685;3,66;FALSE
Kepler-131 c;0;0,025952;0,076549;25,5169;0,168529554287586;NA;NA;transit;2014;288,529166666667;40,9341666666667;226,3;1,02;1,03;0,12;5685;3,66;FALSE
HD 114729 A b;1;0,84;NA;1135;2,08;NA;NA;RV;2002;198,183333333333;-31,8672222222222;35;0,93;1,46;-0,22;NA;6;FALSE
CoRoT-24 b;0;NA;0,33;5,1134;0,056;1070;NA;transit;2014;101,920833333333;-3,71694444444444;600;0,91;0,86;0,3;4950;11;FALSE
CoRoT-24 c;0;0,088;0,44;11,759;0,098;850;NA;transit;2014;101,920833333333;-3,71694444444444;600;0,91;0,86;0,3;4950;11;FALSE
Kepler-211 c;0;NA;0,11756;6,04045;0,0668941776170675;NA;NA;transit;2014;285,4375;43,1666666666667;327,93;0,914;0,816;NA;5123;NA;FALSE
Kepler-211 b;0;NA;0,11482;4,138575;0,0519887461178287;NA;NA;transit;2014;285,4375;43,1666666666667;327,93;0,914;0,816;NA;5123;NA;FALSE
Kepler-294 c;0;NA;0,24696;6,6264;0,0691906099480323;NA;NA;transit;2014;287,391666666667;46,0508333333333;1698,68;0,994;0,976;NA;5913;NA;FALSE
Kepler-294 b;0;NA;0,1613;3,701212;0,0469272064060574;NA;NA;transit;2014;287,391666666667;46,0508333333333;1698,68;0,994;0,976;NA;5913;NA;FALSE
HD 164595 b;0;0,051;NA;40;0,23;NA;NA;RV;2015;270,162059625;29,5719222777778;28,93;0,99;NA;-0,04;5790;NA;FALSE
Kepler-257 c;0;NA;0,49301;6,581484;0,075996950933917;NA;NA;transit;2014;297,3125;46,0172222222222;1167,03;0,74;1,037;NA;5180;NA;FALSE
Kepler-257 b;0;NA;0,23785;2,382667;0,0386031296163318;NA;NA;transit;2014;297,3125;46,0172222222222;1167,03;0,74;1,037;NA;5180;NA;FALSE
Kepler-257 d;0;NA;0,45109;24,664551;0,183356266676899;NA;NA;transit;2014;297,3125;46,0172222222222;1167,03;0,74;1,037;NA;5180;NA;FALSE
Kepler-214 c;0;NA;0,19411;28,7798;0,175448673603505;NA;NA;transit;2014;284,754166666667;44,9505555555556;1070,66;1,15;1,352;NA;6169;NA;FALSE
Kepler-214 b;0;NA;0,23785;15,660544;0,116939923202234;NA;NA;transit;2014;284,754166666667;44,9505555555556;1070,66;1,15;1,352;NA;6169;NA;FALSE
